Term_EN,POS,Definition_EN,Example_from_article_EN,French_FR,Notes_FR,Domain,Source
Special Purpose Vehicle,noun,Separate legal entity created for a narrowly defined financial objective to isolate risk.,An SPV is a distinct legal entity created by a founding organization for a narrowly defined financial objective.,véhicule ad hoc (SPV),Also seen as « véhicule à finalité spécifique ». Keep acronym SPV.,finance/law,user article
Special Purpose Entity,noun,Synonym for Special Purpose Vehicle.,Special Purpose Vehicle and Special Purpose Entity are synonymous.,entité ad hoc (SPE),Synonyme de SPV. Souvent « entité à finalité spécifique ».,finance/law,user article
bankruptcy-remote,adj,Structured to minimize the risk that a parent's bankruptcy affects the SPV and vice versa.,Structured to minimize the risk of parent's bankruptcy.,à l’abri du risque de faillite,Aussi « structure faiblement exposée à la faillite ».,finance/law,user article
ring-fencing,noun,Separating assets and liabilities to isolate financial risk.,Off-balance-sheet legal structures to isolate financial risk by ring-fencing assets and liabilities.,cantonnement des actifs et passifs,Terme de structuration financière.,finance,user article
off-balance-sheet,adj,Not consolidated into the sponsor's balance sheet under certain accounting tests.,From their origins in the 1980s as off-balance-sheet legal structures.,hors bilan,"Sous IFRS/US GAAP, soumis à tests de consolidation.",accounting,user article
pass-through entity,noun,Entity whose income is taxed at investor level rather than at entity level.,SPVs are typically structured as pass-through entities.,entité translucide / transparente fiscalement,Traduction dépend du pays; « transparence fiscale ».,tax,user article
orphan structure,noun,Ownership held by an independent third party to enhance separateness.,"Ownership can be held by an independent third party (""orphan"" structure).",structure orpheline,Souvent via trustee indépendant.,finance/law,user article
true sale,noun,Asset transfer designed to be bankruptcy‑resistant to the originator’s insolvency.,"Assets are transferred via a ""true sale"".",cession « true sale » / vente véritable,Garder l’anglais entre guillemets courants.,securitization,user article
cash flow waterfall,noun,"Priority of payments across fees, interest, principal, and residuals.","Define the cash flow waterfall, outlining the priority of payments.",cascade de paiements,Aussi « priorité des paiements ».,finance,user article
non-petition clause,noun,Contract term preventing creditors from initiating insolvency proceedings against the SPV.,Embedding non-petition language in all contracts.,clause de non‑pétition,Indispensable pour l’isolément de l’SPV.,law,user article
limited recourse clause,noun,Contract term limiting creditor claims to the SPV’s assets.,Embedding limited-recourse language in all contracts.,clause de recours limité,Avec non‑pétition dans la documentation.,law,user article
independent director,noun,"Director unaffiliated with the sponsor, often with veto on voluntary insolvency.",At least one independent director empowered to block any voluntary insolvency filing.,administrateur indépendant,Ou « gérant indépendant » selon forme juridique.,governance,user article
beneficial ownership,noun,The natural person(s) who ultimately owns or controls an entity.,Beneficial ownership updates.,bénéficiaire effectif,Obligations de déclaration (KYC/AML).,compliance,user article
KYC,abbr,Know Your Customer checks to verify investor identity.,KYC/AML checks.,KYC (connaissance du client),Garder l’acronyme; ajouter expansion FR si utile.,compliance,user article
AML,abbr,Anti-Money Laundering framework.,KYC/AML checks.,LCB‑FT (lutte contre le blanchiment de capitaux et le financement du terrorisme),Dans l’UE on emploie LCB‑FT.,compliance,user article
accredited investor,noun,Investor meeting regulatory thresholds to participate in private offerings.,Offerings are often restricted to accredited investors.,investisseur qualifié / accrédité,Terme US; en UE: investisseur professionnel.,securities law,user article
blind-pool fund,noun,Fund that raises capital before specifying investments.,Faster and easier than raising a traditional blind-pool fund.,fonds « blind pool »,Garder l’anglais; expliquer au besoin.,private markets,user article
follow-on investment,noun,Additional investment made in an existing portfolio company.,Exercise pro-rata rights to make follow-on investments.,réinvestissement / investissement de suivi,Choisir selon contexte.,venture capital,user article
